Time,Interval Start,Interval End,Market,Location,Location Type,LMP,Energy,Congestion,Loss,GHG
2025-01-01 00:00:00-08:00,2025-01-01 00:00:00-08:00,2025-01-01 00:15:00-08:00,REAL_TIME_15_MIN,DLAP_SCE-APND,DLAP,42.53686,43.14083,0.0,-0.60397,0.0
2025-01-01 00:15:00-08:00,2025-01-01 00:15:00-08:00,2025-01-01 00:30:00-08:00,REAL_TIME_15_MIN,DLAP_SCE-APND,DLAP,42.04027,42.65727,0.03139,-0.64839,0.0
2025-01-01 00:30:00-08:00,2025-01-01 00:30:00-08:00,2025-01-01 00:45:00-08:00,REAL_TIME_15_MIN,DLAP_SCE-APND,DLAP,41.97318,42.47261,0.04422,-0.54365,0.0
2025-01-01 00:45:00-08:00,2025-01-01 00:45:00-08:00,2025-01-01 01:00:00-08:00,REAL_TIME_15_MIN,DLAP_SCE-APND,DLAP,41.51202,42.03323,0.0,-0.52121,0.0
2025-01-01 01:00:00-08:00,2025-01-01 01:00:00-08:00,2025-01-01 01:15:00-08:00,REAL_TIME_15_MIN,DLAP_SCE-APND,DLAP,41.59094,42.1302,0.0,-0.53927,0.0
2025-01-01 01:15:00-08:00,2025-01-01 01:15:00-08:00,2025-01-01 01:30:00-08:00,REAL_TIME_15_MIN,DLAP_SCE-APND,DLAP,41.39095,41.91064,0.0,-0.51969,0.0
2025-01-01 01:30:00-08:00,2025-01-01 01:30:00-08:00,2025-01-01 01:45:00-08:00,REAL_TIME_15_MIN,DLAP_SCE-APND,DLAP,41.41816,41.90849,0.0,-0.49033,0.0
2025-01-01 01:45:00-08:00,2025-01-01 01:45:00-08:00,2025-01-01 02:00:00-08:00,REAL_TIME_15_MIN,DLAP_SCE-APND,DLAP,41.6693,42.13276,0.0,-0.46346,0.0
2025-01-01 02:00:00-08:00,2025-01-01 02:00:00-08:00,2025-01-01 02:15:00-08:00,REAL_TIME_15_MIN,DLAP_SCE-APND,DLAP,41.62686,42.06008,0.0,-0.43322,0.0
2025-01-01 02:15:00-08:00,2025-01-01 02:15:00-08:00,2025-01-01 02:30:00-08:00,REAL_TIME_15_MIN,DLAP_SCE-APND,DLAP,43.2826,43.67569,0.0,-0.39308,0.0
2025-01-01 02:30:00-08:00,2025-01-01 02:30:00-08:00,2025-01-01 02:45:00-08:00,REAL_TIME_15_MIN,DLAP_SCE-APND,DLAP,42.65072,43.00335,0.0,-0.35263,0.0
2025-01-01 02:45:00-08:00,2025-01-01 02:45:00-08:00,2025-01-01 03:00:00-08:00,REAL_TIME_15_MIN,DLAP_SCE-APND,DLAP,44.64593,44.9335,0.0,-0.28757,0.0
